tconst,primaryTitle,startYear,runtimeMinutes,averageRating,numVotes,directors,writers,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Talk-Show,Thriller,War,Western
tt0111161,The Shawshank Redemption,1994,142.0,9.3,3169844,nm0001104,"nm0000175,nm0001104",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0468569,The Dark Knight,2008,152.0,9.1,3147954,nm0634240,"nm0634300,nm0634240,nm0275286,nm0004170",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1375666,Inception,2010,148.0,8.8,2798306,nm0634240,nm0634240,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0137523,Fight Club,1999,139.0,8.8,2587348,nm0000399,"nm0657333,nm0880243",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt0816692,Interstellar,2014,169.0,8.7,2498869,nm0634240,"nm0634300,nm0634240",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0109830,Forrest Gump,1994,142.0,8.8,2481470,nm0000709,"nm0343165,nm0744839",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0110912,Pulp Fiction,1994,154.0,8.8,2422421,nm0000233,"nm0000233,nm0000812",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0133093,The Matrix,1999,136.0,8.7,2234994,"nm0905154,nm0905152","nm0905152,nm0905154",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0068646,The Godfather,1972,175.0,9.2,2214463,nm0000338,"nm0701374,nm0000338",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,178.0,8.9,2194839,nm0001392,"nm0866058,nm0909638,nm0101991,nm0001392",0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
